"Fecha_Hora_24h","Nombre_Usuario","Sesion_ID","Num_Pregunta","Intervalo_App_Sonado","Respuesta_Usuario","Veredicto_Servidor"
"23/9/2026, 23:40:54","JuanJo","1790224847841","1","8","TA","Incorrecto"
"23/9/2026, 23:40:56","JuanJo","1790224847841","2","6m","6","Correcto"
"23/9/2026, 23:40:59","JuanJo","1790224847841","3","5","U","Incorrecto"
"23/9/2026, 23:41:02","JuanJo","1790224847841","4","3M","3","Correcto"
"23/9/2026, 23:41:05","JuanJo","1790224847841","5","U","U","Correcto"
"23/9/2026, 23:41:08","JuanJo","1790224847841","6","4","4","Correcto"
"23/9/2026, 23:41:12","JuanJo","1790224847841","7","6M","6","Correcto"
"23/9/2026, 23:41:15","JuanJo","1790224847841","8","3m","3","Correcto"
"23/9/2026, 23:41:19","JuanJo","1790224847841","9","4","4","Correcto"
"23/9/2026, 23:41:22","JuanJo","1790224847841","10","3m","3M","Incorrecto"
"23/9/2026, 23:41:24","JuanJo","1790224847841","11","6M","6","Correcto"
"23/9/2026, 23:41:27","JuanJo","1790224847841","12","6m","6","Correcto"
"23/9/2026, 23:41:31","JuanJo","1790224847841","13","8","8","Correcto"
"23/9/2026, 23:41:35","JuanJo","1790224847841","14","3M","3M","Correcto"
"23/9/2026, 23:41:38","JuanJo","1790224847841","15","5","5","Correcto"
"23/9/2026, 23:41:41","JuanJo","1790224847841","16","U","U","Correcto"
"23/9/2026, 23:41:44","JuanJo","1790224847841","17","U","4","Incorrecto"
"23/9/2026, 23:41:47","JuanJo","1790224847841","18","3m","3","Correcto"
"23/9/2026, 23:41:50","JuanJo","1790224847841","19","8","8","Correcto"
"23/9/2026, 23:41:53","JuanJo","1790224847841","20","6M","6","Correcto"
"23/9/2026, 23:44:05","JuanJo","1790225040644","1","3M","3","Correcto"
"23/9/2026, 23:44:09","JuanJo","1790225040644","2","7m","7","Correcto"
"23/9/2026, 23:44:12","JuanJo","1790225040644","3","6M","6","Correcto"
"23/9/2026, 23:44:15","JuanJo","1790225040644","4","2m","2m","Correcto"
"23/9/2026, 23:44:19","JuanJo","1790225040644","5","7M","TA","Incorrecto"
"23/9/2026, 23:44:21","JuanJo","1790225040644","6","6m","6","Correcto"
"23/9/2026, 23:44:24","JuanJo","1790225040644","7","T","T","Correcto"
"23/9/2026, 23:44:28","JuanJo","1790225040644","8","2M","2M","Correcto"
"23/9/2026, 23:44:31","JuanJo","1790225040644","9","3m","3","Correcto"
"23/9/2026, 23:44:34","JuanJo","1790225040644","10","2M","2","Correcto"
"23/9/2026, 23:44:37","JuanJo","1790225040644","11","6m","2","Incorrecto"
"23/9/2026, 23:44:40","JuanJo","1790225040644","12","2m","6","Incorrecto"
"23/9/2026, 23:44:43","JuanJo","1790225040644","13","T","T","Correcto"
"23/9/2026, 23:44:48","JuanJo","1790225040644","14","6M","6","Correcto"
"23/9/2026, 23:44:50","JuanJo","1790225040644","15","7M","7M","Correcto"
"23/9/2026, 23:44:53","JuanJo","1790225040644","16","3m","3","Correcto"
"23/9/2026, 23:44:57","JuanJo","1790225040644","17","3M","3","Correcto"
"23/9/2026, 23:45:00","JuanJo","1790225040644","18","7m","7","Correcto"
"23/9/2026, 23:45:03","JuanJo","1790225040644","19","3M","3","Correcto"
"23/9/2026, 23:45:06","JuanJo","1790225040644","20","7M","7M","Correcto"
"24/9/2026, 15:05:51","OmarB","1790280346179","1","5","5","Correcto"
"24/9/2026, 15:05:55","OmarB","1790280346179","2","8","TA","Incorrecto"
"24/9/2026, 15:05:58","OmarB","1790280346179","3","4","U","Incorrecto"
"24/9/2026, 15:06:02","OmarB","1790280346179","4","U","TA","Incorrecto"
"24/9/2026, 15:06:03","OmarB","1790280346179","5","U","U","Correcto"
"24/9/2026, 15:06:07","OmarB","1790280346179","6","8","8","Correcto"
"24/9/2026, 15:06:10","OmarB","1790280346179","7","4","4","Correcto"
"24/9/2026, 15:06:13","OmarB","1790280346179","8","5","5","Correcto"
"24/9/2026, 15:06:16","OmarB","1790280346179","9","U","U","Correcto"
"24/9/2026, 15:06:19","OmarB","1790280346179","10","5","5","Correcto"
"24/9/2026, 15:06:23","OmarB","1790280346179","11","8","8","Correcto"
"24/9/2026, 15:06:26","OmarB","1790280346179","12","4","4","Correcto"
"24/9/2026, 15:06:29","OmarB","1790280346179","13","U","U","Correcto"
"24/9/2026, 15:06:32","OmarB","1790280346179","14","8","8","Correcto"
"24/9/2026, 15:06:35","OmarB","1790280346179","15","4","4","Correcto"
